batch_size,max_iter,time,score
200,5,16.219510,0.973600
200,10,32.613416,0.980100
200,15,48.450062,0.983600
200,20,61.504917,0.985300
400,5,12.484324,0.977800
400,10,24.894672,0.980300
400,15,37.686082,0.981700
400,20,50.826424,0.982200
600,5,11.552213,0.976300
600,10,22.452397,0.980300
600,15,33.762542,0.981400
600,20,45.091877,0.981500
800,5,10.495530,0.974400
800,10,20.928124,0.980100
800,15,31.688097,0.981400
800,20,41.877449,0.982400
1000,10,19.643945,0.978000
1000,15,29.039556,0.980900
1000,20,38.945909,0.980200
1000,25,48.521989,0.980400
1000,30,57.252570,0.981600
1500,10,18.270851,0.974200
1500,15,27.586245,0.978000
1500,20,35.989373,0.980000
1500,25,45.239181,0.980100
1500,30,55.274533,0.981100
2000,10,17.487737,0.972000
2000,15,26.250931,0.976400
2000,20,35.104972,0.979100
2000,25,43.816797,0.979200
2000,30,54.300099,0.980200
2500,10,17.210716,0.968800
2500,15,25.895857,0.975800
2500,20,34.377358,0.978800
2500,25,43.026752,0.979500
2500,30,51.746533,0.981200
3000,10,17.076251,0.965700
3000,15,25.532423,0.971900
3000,20,34.333973,0.975500
3000,25,42.852896,0.976800
3000,30,51.424777,0.978700
200,10,28.701831,0.980100
