batch_size,max_iter,time,score
200,5,11.546701,0.973600
200,10,22.217476,0.980100
200,15,32.941528,0.983600
200,20,42.020389,0.985300
400,5,8.826176,0.977800
400,10,17.891651,0.980300
400,15,26.667665,0.981700
400,20,35.613247,0.982200
600,5,8.146256,0.976300
600,10,16.271446,0.980300
600,15,24.267447,0.981400
600,20,32.477168,0.981500
800,5,7.773984,0.974400
800,10,15.544582,0.980100
800,15,23.348732,0.981400
800,20,31.115218,0.982400
1000,10,14.247874,0.978000
1000,15,20.732953,0.980900
1000,20,27.679005,0.980200
1000,25,34.584151,0.980400
1000,30,41.421950,0.981600
1500,10,13.121241,0.974200
1500,15,19.679399,0.978000
1500,20,26.246252,0.980000
1500,25,32.746079,0.980100
1500,30,39.345006,0.981100
2000,10,12.784906,0.972000
2000,15,19.157480,0.976400
2000,20,25.540935,0.979100
2000,25,31.846632,0.979200
2000,30,38.238676,0.980200
2500,10,12.583704,0.968800
2500,15,18.846665,0.975800
2500,20,25.163964,0.978800
2500,25,31.389094,0.979500
2500,30,37.654226,0.981200
3000,10,12.419598,0.965700
3000,15,18.607577,0.971900
3000,20,24.855083,0.975500
3000,25,30.944674,0.976800
3000,30,37.178199,0.978700
200,10,21.276229,0.980100
